Title,Number of ratings,Gutenberg ID,Factor,Rank
The Picture of Dorian Gray,919179,174,Y,1
Dracula,897395,345,Y,2
The Time Machine: An Invention,395089,35,Y,3
The War of the Worlds,235205,36,Y,4
Tess of the D'Urbervilles: A Pure Woman,231991,110,Y,5
The Invisible Man: A Grotesque Romance,133858,5230,Y,6
The Island of Dr. Moreau,90102,28840,Y,7
The Red Badge of Courage: An Episode of the American Civil War,87355,73,Y,8
Jude the Obscure,59811,153,Y,9
Sister Carrie,36183,5267,Y,10
Kim,32366,2226,Y,11
Lord Jim: A Tale,26700,5658,Y,12
Captains Courageous: A Story of the Grand Banks,19229,2186,Y,13
The Prisoner of Zenda: Being the History of Three Months in the Life of an English Gentleman,17494,95,Y,14
The Diary of a Nobody,12574,1026,Y,15
The First Men in the Moon,12417,1013,Y,16
The Gadfly,8400,3431,Y,17
Maggie: A Girl of the Streets,7129,447,Y,18
New Grub Street: A Novel,5509,1709,Y,19
My Brilliant Career,5488,11620,Y,20
Lilith: A Romance,5442,1640,Y,21
What Maisie Knew,5204,7118,Y,22
Three Men on the Bummel,5024,2183,Y,23
Moonfleet,4580,10743,Y,24
The Odd Women,4395,4313,Y,25
The White Company,3786,903,Y,26
When the Sleeper Wakes: A Story of the Years to Come,3677,775,Y,27
The People of the Mist,3238,6769,Y,28
Elizabeth and her German Garden,2718,1327,Y,29
The Beetle: A Mystery,2275,5164,Y,30
The Amateur Cracksman,2089,706,Y,31
"The Nigger of the ""Narcissus"": A Tale of the Sea",1848,17731,Y,32
Montezuma's Daughter,1654,1848,Y,33
"News from Nowhere: or, An Epoch of Rest, Being Some Chapters from a Utopian Romance",1636,3261,Y,34
Liza of Lambeth,1625,16517,Y,35
The Well-Beloved: A Sketch of a Temperment,1553,3326,Y,36
The Making of a Marchioness,1431,17226,Y,37
Rupert of Hentzau: Being the Sequel to 'The Prisoner of Zenda',1380,1145,Y,38
Almayer's Folly: A Story of an Eastern River,1240,720,Y,39
The Spoils of Poynton,1225,33325,Y,40
"Catriona: A Sequel to Kidnapped, Being Memoirs of the Further Adventures of David Balfour",1131,589,Y,41
The Purple Cloud,1087,11229,Y,42
Beric the Briton: A Story of the Roman Invasion,1080,7037,Y,43
St.  Peter's Umbrella: A Novel,1046,31945,Y,44
Trilby,1042,39858,Y,45
Samuel Boyd of Catchpole Square,927,43198,Y,46
The Awkward Age,925,7433,Y,47
The Light that Failed,920,2876,Y,48
"The Sorrows of Satan: or, The Strange Experiences of Geoffrey Tempest, Millionaire. A Romance",892,42332,Y,49
In the Cage,717,1144,Y,50
The Crisis,716,5396,Y,51
Esther Waters: A Novel,704,8157,Y,52
"The Three Imposters: or, The Transmutations",691,35517,Y,53
The Solitary Summer,689,5991,Y,54
An Outcast of the Islands,679,638,Y,55
The Well at the World's End: A Tale,653,169,Y,56
The Big Bow Mystery,577,28164,Y,57
A Child of the Jago,534,36958,Y,58
Eric Brighteyes,476,2721,Y,59
The Wonderful Visit,457,33913,Y,60
The Lost Stradivarius,448,14107,Y,61
The Parasite,447,8618,Y,62
There and Back,444,8879,Y,63
The Exploits of Brigadier Gerard,428,11247,Y,64
The House with the Green Shutters,404,25876,Y,65
The Upper Berth,346,22246,Y,66
The Tragedy of the Korosko,337,12555,Y,67
The Ebb-Tide: A Trio and Quartette,335,1604,Y,68
The Wheels of Chance: A Holiday Adventure,328,8977,Y,69
Born in Exile: A Novel,326,4526,Y,70
In the Fog,316,7884,Y,71
Nada the Lily,306,1207,Y,72
The Hero,283,27063,Y,73
Sylvie and Bruno Concluded,279,48795,Y,74
Lysbeth: A Tale of the Dutch,251,5754,Y,75
The Benefactress,244,30302,Y,76
Dream Days,235,270,Y,77
Salted with Fire,232,9154,Y,78
The Wrecker,227,1024,Y,79
The Sacred Fount,223,32939,Y,80
Heather and Snow: A Novel,217,9155,Y,81
The Were-wolf,212,13131,Y,82
The Little Minister,211,5093,Y,83
Miss Cayley's Adventures,207,30970,Y,84
"Etidorhpa: or, The End of the Earth",204,37775,Y,85
The Woman Who Did,204,4396,Y,86
The Wizard,187,2893,Y,87
A Digit of the Moon: A Hindoo Love Story,181,48910,Y,88
Rodney Stone,178,5148,Y,89
The Story of the Glittering Plain Which has been also Called the Land of Living Men or the Acre of the Undying Written,178,2565,Y,90
The Doings of Raffles Haw,173,8394,Y,91
The Heavenly Twins,167,8676,Y,92
Agatha Webb,163,5162,Y,93
Olaf the Glorious: A Historical Story of the Viking Age,157,9415,Y,94
Red Pottage,152,14885,Y,95
The Inheritors: An Extravagent Story,152,14888,Y,96
The Green Carnation,150,24499,Y,97
In the Year of Jubilee,136,4307,Y,98
Erewhon Revisited Twenty Years Later: Both by the Original Discoverer of the Country and by his Son,133,1971,Y,99
The Refugees: A Tale of Two Continents,130,11413,Y,100
St. Ives: Being the Adventures of a French Prisoner in England,128,322,Y,101
The Flight of the Shadow,128,8902,Y,102
Grim Tales,126,40321,Y,103
Ziska: The Problem of a Wicked Soul,126,5079,Y,104
The Paying Guest,125,4298,Y,105
The Whirlpool,121,4299,Y,106
The Heart of Princess Osra,120,41438,Y,107
The Greater Inclination,119,9190,Y,108
An African Millionaire: Episodes in the Life of the Illustrious Colonel Clay,114,4715,Y,109
Cowmen and Rustlers: A Story of the Wyoming Cattle Range,106,11337,Y,110
The Sundering Flood,106,25547,Y,111
Uncle Bernac: A Memory of the Empire,105,10581,Y,112
Monsieur Beaucaire,104,1983,Y,113
The Gentleman from Indiana,103,9659,Y,114
Hunted and Harried: A Tale of the Scottish Covenanters,98,21738,Y,115
"A Bid for Fortune: or, Dr. Nikola's Vendetta",95,21640,Y,116
"The Beth Book: A Study from the Life of Elizabeth Caldwell Maclure, Woman of Genius",94,28088,Y,117
"Stephen, A Soldier of the Cross",92,41655,Y,118
Children of the Ghetto,89,12680,Y,119
Eve's Ransom,86,4297,Y,120
Peter Ibbetson,85,9817,Y,121
Ships that Pass in the Night,84,12476,Y,122
Condemned as a Nihilist: A Story of Escape from Siberia,80,26090,Y,123
The Brass Bottle,80,30689,Y,124
The Witch of Prague,79,3816,Y,125
A Journey in Other Worlds: A Romance of the Future,78,1607,Y,126
Prince Zaleski,77,10709,Y,127
The King of Schnorrers: Grotesques and Fantasies,76,38413,Y,128
The Making of a Saint,76,39143,Y,129
The Stark Munro Letters,74,290,Y,130
A Honeymoon in Space,73,19476,Y,131
A Rough Shaking,73,8886,Y,132
Khaled: A Tale of Arabia,73,34959,Y,133
John Burnet of Barns: A Romance,71,40014,Y,134
A Traveller from Altruria: Romance,69,8449,Y,135
The Bishop's Secret,69,23474,Y,136
The Swallow: A Tale of the Great Trek,65,4074,Y,137
His Grace of Osmonde: Being the Portion of the History of that Nobleman's Life omitted in A Lady of Quality,63,15651,Y,138
Tales of Mean Streets,63,40569,Y,139
The Martian: A Novel,63,27400,Y,140
Sentimental Tommy: The Story of his Boyhood,62,14961,Y,141
Soldiers of Fortune,61,403,Y,142
"Sketches in Lavender, Blue, and Green",58,2234,Y,143
The Half-Hearted,58,17047,Y,144
God Will It!': A Tale of the First Crusade,56,41549,Y,145
With Cochrane the Dauntless: A Tale of the Exploits of Lord Cochrane in South American Waters,56,25993,Y,146
The Adventures of Captain Horn,55,12190,Y,147
While the Billy Boils,55,7144,Y,148
That Mainwaring Affair,54,2172,Y,149
"Grisly Grisell: or, The Laidly Lady of Whitburn. A Tale of the Wars of the Roses",53,7387,Y,150
The Eternal City,53,19732,Y,151
The Black Douglas,51,17733,Y,152
Richard Carvel,50,5373,Y,153
"The Indiscretion of the Duchess: Being a Story Concerning Two Ladies, a Nobleman, and a Necklace",49,13909,Y,154
The Visits of Elizabeth,48,10959,Y,155
Pharos the Egyptian,47,33610,Y,156
Master Skylark: A Story of Shakspere's Time,46,11574,Y,157
Eben Holden: A Tale of the North Country,45,2799,Y,158
The Sign of the Spider: An Episode,45,27476,Y,159
Who Goes There?: The Story of a Spy in the Civil War,45,12229,Y,160
Orientations,43,31308,Y,161
The Daughters of Danaus,43,21858,Y,162
The Datchet Diamonds,42,40353,Y,163
Tommy and Grizel,42,11901,Y,164
Trooper Peter Halket of Mashonaland,39,1431,Y,165
Mr. Marx's Secret,37,39018,Y,166
The Great White Queen: A Tale of Treasure and Treason,37,25499,Y,167
What's Bred in the Bone: <U+00A3>1000 Prize Novel,37,6010,Y,168
In the Days of Drake: Being the Adventures of Humphrey Salkeld,36,29304,Y,169
The Love Affairs of an Old Maid,36,22047,Y,170
The Observations of Henry,36,17943,Y,171
The Dolly Dialogues: Reprinted from the Westminister Gazette,34,1203,Y,172
Polly Oliver's Problem: A Story for Girls,34,15630,Y,173
Rose of Dutcher's Coolly,34,35805,Y,174
Phroso: A Romance,33,41822,Y,175
The Mermaid: A Love Tale,33,20054,Y,176
The Third Violet,33,19593,Y,177
Joe Wilson and his Mates,32,1036,Y,178
Revenge!,32,8668,Y,179
Tourmalin's Time Cheques,32,46173,Y,180
A Trip to Venus: A Novel,31,13716,Y,181
Helbeck of Bannisdale,31,9441/9442,Y,182
On the Face of the Waters,31,40140,Y,183
The Sky Pilot: A Tale of the Foothills,31,3248,Y,184
Mysterious Mr. Sabin,30,35661,Y,185
Penelope's Experiences in Scotland,30,1217,Y,186
The British Barbarians: A Hill-top Novel,30,4340,Y,187
The Carved Cupboard,29,22232,Y,188
Active Service,28,2364,Y,189
The Daughter of the Chieftain,28,7493,Y,190
The King's Mirror,28,24034,Y,191
Doom Castle: A Romance,27,21333,Y,192
Sir Quixote of the Moors: Being Some Accounts of an Episode in the Life of the Sieur de Rohaine,27,46345,Y,193
The Castle Inn,27,11918,Y,194
The Manxman,27,25570,Y,195
Tom Ossington's Ghost,27,40453,Y,196
Diana Tempest,26,37973/ 37974/37975,Y,197
Jewel Mysteries I Have Known: From a Dealer's Note Book,26,39891,Y,198
The Lord of the Sea,26,6993,Y,199
The Princess Aline,26,327,Y,200
The Thirsty Sword: A Story of the Norse Invasion of Scotland (1262-1263),26,12981,Y,201
A Friend of Caesar: A Tale of the Fall of the Roman Republic,25,15694,Y,202
Hilda Wade,25,4903,Y,203
The Master-Christian,25,4285,Y,204
By Reef and Palm,24,3818,Y,205
The Crime and the Criminal,24,40348,Y,206
Marietta: A Maid of Venice,23,16100,Y,207
Penelope's Irish Experiences,23,1391,Y,208
The Mystery of Choice,23,46581,Y,209
A Monk of Cruta,22,31535,Y,210
A Pirate of the Caribees,22,21073,Y,211
The Crown of Life,22,4541,Y,212
The Story of Ab: A Tale of the Time of the Cave Men,22,8644,Y,213
The Town Traveller,22,4308,Y,214
Children of the Mist,21,14527,Y,215
Our Bessie,21,28651,Y,216
The Californians,21,21903,Y,217
The Guinea Stamp: A Tale of Modern Glasgow,21,17442,Y,218
Two Little Pilgrims' Progress: A Story of the City Beautiful,21,50471,Y,219
Two Penniless Princesses,21,2942,Y,220
Odd,20,22291,Y,221
The Christian: A Story,20,8407,Y,222
Timothy's Quest,20,18531,Y,223
A Dog with a Bad Name,19,21038,Y,224
Dodo: A Detail of the Day,19,44486,Y,225
Dream Life and Real Life: A Little African Story,19,1458,Y,226
Our Friend the Charlatan,19,4304,Y,227
At a Winter's Fire,18,14045,Y,228
Black Rock: A Tale of the Selkirks,18,3245,Y,229
"Dwell Deep: or, Hilda Thorne's Life Story",18,22243,Y,230
Simon Dale,18,20328,Y,231
The Grey Man,18,49301,Y,232
A Rose of a Hundred Leaves: A Love Story,17,33599,Y,233
By Far Euphrates: A Tale,17,49915,Y,234
Clementina,17,13567,Y,235
D'ri and I: A Tale of Daring Deeds in the Second War with the British,17,12440,Y,236
Denzil Quarrier: A Novel,17,4303,Y,237
Eliza,17,23783,Y,238
The Cardinal's Snuff-Box,17,5610,Y,239
The Crack of Doom,17,26563,Y,240
The Great Stone of Sardis: A Novel,16,6127,Y,241
"Farewell, Nikola",15,39906,Y,242
A Gallant Grenadier: A Tale of the Crimean War,15,32930,Y,243
Clara Hopgood,15,5986,Y,244
In the Roar of the Sea: A Tale of the Cornish Coast,15,40631,Y,245
The Watchers,15,38693,Y,246
"Vandrad the Viking: or, The Feud and the Spell",15,5120,Y,247
Herb of Grace,14,4005,Y,248
In the Palace of the King: A Love Story of Old Madrid,14,13243,Y,249
