,Title,Number of Ratings,Type,,,,,,,,
1,The Picture of Dorian Gray,919179,penguin,,,,,,,,
2,Dracula,897395,penguin,,,,,,,,
3,The Time Machine: An Invention,395089,penguin,,,,,,,,
4,The War of the Worlds,235205,penguin,,,,,,,,
5,Tess of the D'Urbervilles: A Pure Woman,231991,penguin,,,,,,,,
6,The Invisible Man: A Grotesque Romance,133858,penguin,,,,,,,,
7,The Island of Dr. Moreau,90102,penguin,,,,,,,,
8,Jude the Obscure,59811,penguin,,,,,,,,
9,Kim,32366,penguin,,,,,,,,
10,Lord Jim: A Tale,26700,penguin,,,,,,,,
11,Captains Courageous: A Story of the Grand Banks,19229,penguin,,,,,,,,
12,New Grub Street: A Novel,5509,penguin,,,,,,,,
13,What Maisie Knew,5204,penguin,,,,,,,,
14,Three Men on the Bummel,5024,penguin,,,,,,,,
15,The Odd Women,4395,penguin,,,,,,,,
16,"The Nigger of the ""Narcissus"": A Tale of the Sea",1848,penguin,,,,,,,,
17,"News from Nowhere: or, An Epoch of Rest, Being Some Chapters from a Utopian Romance",1636,penguin,,,,,,,,
18,The Well-Beloved: A Sketch of a Temperment,1553,penguin,,,,,,,,
19,The Spoils of Poynton,1225,penguin,,,,,,,,
20,The Awkward Age,925,penguin,,,,,,,,
21,The Picture of Dorian Gray,919179,oxford,,,,,,,,
22,Dracula,897395,oxford,,,,,,,,
23,The Time Machine: An Invention,395089,oxford,,,,,,,,
24,Tess of the D'Urbervilles: A Pure Woman,231991,oxford,,,,,,,,
25,The Island of Dr. Moreau,90102,oxford,,,,,,,,
26,Jude the Obscure,59811,oxford,,,,,,,,
27,Kim,32366,oxford,,,,,,,,
28,Lord Jim: A Tale,26700,oxford,,,,,,,,
29,The Prisoner of Zenda: Being the History of Three Months in the Life of an English Gentleman,17494,oxford,,,,,,,,
30,The Diary of a Nobody,12574,oxford,,,,,,,,
31,The First Men in the Moon,12417,oxford,,,,,,,,
32,New Grub Street: A Novel,5509,oxford,,,,,,,,
33,What Maisie Knew,5204,oxford,,,,,,,,
34,Three Men on the Bummel,5024,oxford,,,,,,,,
35,The Odd Women,4395,oxford,,,,,,,,
36,"News from Nowhere: or, An Epoch of Rest, Being Some Chapters from a Utopian Romance",1636,oxford,,,,,,,,123700.2273
37,The Spoils of Poynton,1225,oxford,,,,,,,,
38,Trilby,1042,oxford,,,,,,,,
39,Esther Waters: A Novel,704,oxford,,,,,,,,
40,An Outcast of the Islands,679,oxford,,,,,,,,
41,A Child of the Jago,534,oxford,,,,,,,,
42,The Ebb-Tide: A Trio and Quartette,335,oxford,,,,,,,,
43,The Picture of Dorian Gray,919179,broadview,,,,,,,,
44,Dracula,897395,broadview,,,,,,,,
45,The Time Machine: An Invention,395089,broadview,,,,,,,,
46,The War of the Worlds,235205,broadview,,,,,,,,
47,Tess of the D'Urbervilles: A Pure Woman,231991,broadview,,,,,,,,
48,The Island of Dr. Moreau,90102,broadview,,,,,,,,
49,Jude the Obscure,59811,broadview,,,,,,,,
50,Kim,32366,broadview,,,,,,,,
51,Lord Jim: A Tale,26700,broadview,,,,,,,,
52,The Diary of a Nobody,12574,broadview,,,,,,,,
53,New Grub Street: A Novel,5509,broadview,,,,,,,,
54,The Odd Women,4395,broadview,,,,,,,,
55,The Beetle: A Mystery,2275,broadview,,,,,,,,
56,"News from Nowhere: or, An Epoch of Rest, Being Some Chapters from a Utopian Romance",1636,broadview,,,,,,,,
57,Trilby,1042,broadview,,,,,,,,
58,A Child of the Jago,534,broadview,,,,,,,,
59,The Woman Who Did,204,broadview,,,,,,,,
60,Marcella,2,broadview,,,,,,,,
61,The Wood Beyond the World,2,broadview,,,,,,,,
62,Tess of the D'Urbervilles: A Pure Woman,231991,bestsellers,,,,,,,,
63,Kim,32366,bestsellers,,,,,,,,
64,The Prisoner of Zenda: Being the History of Three Months in the Life of an English Gentleman,17494,bestsellers,,,,,,,,
65,Elizabeth and her German Garden,2718,bestsellers,,,,,,,,
66,Rupert of Hentzau: Being the Sequel to 'The Prisoner of Zenda',1380,bestsellers,,,,,,,,
67,"Catriona: A Sequel to Kidnapped, Being Memoirs of the Further Adventures of David Balfour",1131,bestsellers,,,,,,,,
68,Trilby,1042,bestsellers,,,,,,,,
69,"The Sorrows of Satan: or, The Strange Experiences of Geoffrey Tempest, Millionaire. A Romance",892,bestsellers,,,,,,,,
70,The Wrecker,227,bestsellers,,,,,,,,
71,The Little Minister,211,bestsellers,,,,,,,,
72,The Woman Who Did,204,bestsellers,,,,,,,,
73,The Heavenly Twins,167,bestsellers,,,,,,,,
74,The Refugees: A Tale of Two Continents,130,bestsellers,,,,,,,,
75,Ships that Pass in the Night,84,bestsellers,,,,,,,,
76,Sentimental Tommy: The Story of his Boyhood,62,bestsellers,,,,,,,,
77,Richard Carvel,50,bestsellers,,,,,,,,
78,The Visits of Elizabeth,48,bestsellers,,,,,,,,
79,Helbeck of Bannisdale,31,bestsellers,,,,,,,,
80,Penelope's Experiences in Scotland,30,bestsellers,,,,,,,,
81,The Manxman,27,bestsellers,,,,,,,,
82,The Master-Christian,25,bestsellers,,,,,,,,
83,Penelope's Irish Experiences,23,bestsellers,,,,,,,,
84,The Christian: A Story,20,bestsellers,,,,,,,,
85,Dodo: A Detail of the Day,19,bestsellers,,,,,,,,
86,The History of Sir Richard Calmady: A Romance,14,bestsellers,,,,,,,,
87,An Englishwoman's Love-Letters,12,bestsellers,,,,,,,,
88,Mollie's Prince,10,bestsellers,,,,,,,,
89,The Garden of Swords,1,bestsellers,,,,,,,,
90,In Kedar's Tents: A Novel,0,bestsellers,,,,,,,,
91,The Isle of Unrest,0,bestsellers,,,,,,,,
92,The Sowers,0,bestsellers,,,,,,,,
93,The Farringdons,5,bestsellers,,,,,,,,
