,Title,Genre,Goodreads,Sentiment,Status,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Negative,Positive,Tokens,AngerPR,AnticipationPR,DisgustPR,FearPR,JoyPR,SadnessPR,SurprisePR,TrustPR,MeanH,MeanL
4,As We Sweep Through The Deep ,Adventure,0,0.27737,Neither,215,223,148,284,210,237,131,300,510,555,40789,0.527102895,0.546716026,0.362842923,0.69626615,0.514844689,0.581039006,0.32116502,0.735492412,2.422222,1.863247444
8,Athelstane Ford,Adventure,1,-0.062959,Neither,399,293,286,476,247,383,181,392,873,686,80581,0.495153944,0.363609288,0.354922376,0.590709969,0.30652387,0.475298147,0.224618707,0.486467033,1.971929,1.325374468
20,Blazing Arrow A Tale of the Frontier   ,Adventure,1,0.038341,Neither,213,220,121,299,172,220,148,260,519,487,49753,0.428114888,0.442184391,0.243201415,0.600968786,0.345707797,0.442184391,0.297469499,0.522581553,1.915462,1.406950335
22,Blue Jackets or The Log of the Teaser  ,Adventure,3,-0.008531,Neither,333,277,227,407,213,325,172,303,800,584,121452,0.274182393,0.228073642,0.186905115,0.335111814,0.175377927,0.267595429,0.141619735,0.249481277,1.113197,0.745150347
24,Bob Strong's Holidays Adrift in the Channel  ,Adventure,0,0.304644,Neither,313,310,227,411,285,340,202,396,777,781,86483,0.36192084,0.35845195,0.262479331,0.475237908,0.329544535,0.393140848,0.233571916,0.457893459,1.662755,1.209486257
43,Catriona ,Adventure,1131,0.136059,Bestsellers,331,304,230,395,261,317,164,429,776,726,102097,0.324201495,0.297756056,0.225275963,0.38688698,0.255639245,0.310489045,0.160631556,0.420188644,1.352635,1.028433744
56,A Dash for a Throne,Adventure,0,0.016573,Neither,370,301,259,443,251,347,191,392,853,703,97971,0.377662778,0.307233773,0.264363944,0.452174623,0.256198263,0.354186443,0.19495565,0.400118402,1.545355,1.061538619
131,Gilian The Dreamer His Fancy His Love and Adventure,Adventure,6,0.050523,Neither,343,319,248,424,298,378,206,388,887,765,104073,0.329576355,0.306515619,0.238294274,0.40740634,0.286337475,0.363206595,0.197937986,0.372815235,1.459552,1.04253745
132,Gold Gold in Cariboo A Story of Adventure in British Columbia,Adventure,0,0.072745,Neither,296,260,233,392,238,342,169,327,765,646,85183,0.347487175,0.305225221,0.273528756,0.460185718,0.279398472,0.40148856,0.198396394,0.383879413,1.558997,1.090593193
169,In Search of Mademoiselle,Adventure,2,0.047636,Neither,363,302,254,458,264,360,183,398,828,729,87084,0.416838914,0.346791604,0.291672408,0.525928988,0.303155574,0.413393964,0.210141932,0.457029994,1.747738,1.217215562
170,In Strange Company A Story of Chili and the Southern Seas,Adventure,3,0.113137,Neither,306,305,219,387,248,342,171,389,763,701,75427,0.40569027,0.404364485,0.290346958,0.513078871,0.328794729,0.453418537,0.226709269,0.515730441,1.764620,1.373513463
