Book,Title,Goodreads,Sentiment,Status,MATTR
1,"Farewell, Nikola",15,0.23124,Neither,0.4894983302625518
2,A Child of the Jago,534,-0.041759,Canonical novels,0.5191713233701538
3,As Others Saw Him,0,0.123316,Neither,0.4536920279452579
4,As We Sweep Through The Deep,0,0.27737,Neither,0.5311667550036597
5,At a Winter's Fire,18,-0.140801,Neither,0.5359326302310278
6,At Aboukir and Acre A Story of Napoleon's Invasion of Egypt,0,0.132627,Neither,0.48305673959197065
7,At the Relton Arms,2,0.297092,Neither,0.5015200826131855
8,Athelstane Ford,1,-0.062959,Neither,0.5159851820278809
9,Audrey Craven,10,0.170015,Neither,0.5088931123810516
10,Averil,9,0.182786,Neither,0.5081520681447327
11,Aylwin,5,0.08158,Neither,0.48895401221713175
12,Babes in the Bush,0,0.389451,Neither,0.49848339806503256
13,Baboo Jabberjee B.A.,4,0.488777,Neither,0.5700232196727306
14,Beric the Briton A Story of the Roman Invasion,1080,0.063147,Neither,0.4856353391993506
15,Bert Lloyd's Boyhood A Story from Nova Scotia,0,0.502387,Neither,0.5139577461348704
16,Between Sun and Sand A Tale of an African Desert,2,-0.062542,Neither,0.5290592858667046
17,Beyond the City,1,0.27086,Neither,0.5052732443000051
18,Black Rock A Tale of the Selkirks,18,0.14054,Neither,0.5015933902972954
19,Blanche A Story for Girls,0,0.428278,Neither,0.49939478917044816
20,Blazing Arrow A Tale of the Frontier,1,0.038341,Neither,0.509684094436729
21,Blood Royal A Novel,3,0.305434,Neither,0.5330523842274186
22,Blue Jackets or The Log of the Teaser,3,-0.008531,Neither,0.49920198714202224
23,A Clerk of Oxford and His Adventures in the Baron's War,0,0.39592,Neither,0.5166880908635377
24,Bob Strong's Holidays Adrift in the Channel,0,0.304644,Neither,0.5438768687463214
25,Boris the Bear Hunter,0,0.18658,Neither,0.5115682125527007
26,Born in Exile,326,0.233969,Neither,0.5447037202203365
27,Both Sides the Border A Tale of Hotspur and Glendower,0,0.233548,Neither,0.48643826943918167
28,Bristol Bells A Story of the Eighteenth Century,1,0.138193,Neither,0.51675226024323
29,Brooke's Daughter A Novel,0,0.185626,Neither,0.4900400451167516
30,By Berwen Banks,0,0.323423,Neither,0.5104936061085633
31,By England's Aid  or The Freeing of the Netherlands (1585-1604),0,0.133747,Neither,0.48536904202388864
32,By Far Euphrates A Tale,17,0.038883,Neither,0.5187805634268142
33,By order of the company,0,-0.043176,Neither,0.5151543096537278
34,A Comedy of Masks,0,0.215449,Neither,0.5301969425521643
35,By Reef and Palm,24,0.013331,Neither,0.5146416408042099
36,"By Right of Conquest Or, With Cortez in Mexico",0,0.207387,Neither,0.49053141665064687
37,By Right of Sword,0,-0.005436,Neither,0.4868121022805222
38,Bye Ways,0,-0.040199,Neither,0.5102557365107446
39,Cæsar's Column A Story of the Twentieth Century,0,0.113452,Neither,0.5177879797937973
40,Capt'n Davy's Honeymoon,4,0.083293,Neither,0.4923861918748556
41,Casa Braccio,4,0.085107,Neither,0.48979783403167293
42,Catharine Furze,5,0.19489,Neither,0.49831497420803045
43,Catriona,1131,0.136059,Bestsellers,0.43451397874498976
44,Cecilia de Noël,0,0.11956,Neither,0.5149544
45,A Country Sweetheart,1,0.183872,Neither,0.47858758477101454
46,Celibates,10,0.127183,Neither,0.47517164218451774
47,Children of the Ghetto,89,0.217047,Neither,0.5358773729176437
48,Children of the Mist,21,0.074097,Neither,0.554302286846133
49,Clara Hopgood,15,0.215536,Neither,0.4594218157880691
50,Clarence,6,-0.017976,Neither,0.5189806916369791
51,Cleg Kelly Arab of the City,1,0.110982,Neither,0.5146423298614622
52,Clementina,17,0.047929,Neither,0.4805908918406072
53,Cleo The Magnificent Or The Muse of the Real,0,0.293708,Neither,0.5178459500816542
54,Clutterbuck's Treasure,0,0.129061,Neither,0.5041525249349833
55,Colonel Starbottle's Client,2,0.105446,Neither,0.5366645255256377
56,A Dash for a Throne,0,0.016573,Neither,0.48694768582581216
57,Colonel Thorndyke's Secret,0,0.235201,Neither,0.4656805281828932
58,Colonial Born A Tale of the Queensland bush,0,-0.054649,Neither,0.48633069156172387
59,Comedies of Courtship,0,0.273045,Neither,0.50837334040543
60,Condemned as a Nihilist A Story of Escape from Siberia,80,0.112024,Neither,0.47828057011740666
61,Corleone A Tale of Sicily,9,0.088959,Neither,0.4906022631531193
62,Cormorant Crag a Tale of the Smuggling Days,3,0.068455,Neither,0.49108200045055195
63,Count Hannibal A Romance of the Court of France,0,-0.230475,Neither,0.497268808406967
64,Cowmen and Rustlers A Story of the Wyoming Cattle Ranges,106,0.124706,Neither,0.5146918140437281
65,Crown and Anchor Under the Penant,1,0.268924,Neither,0.5403642887674068
66,Crusoes of the Frozen North,0,0.153801,Neither,0.5118953237159384
67,A Daughter of the Vine,8,0.140182,Neither,0.5261747431375556
68,Cursed by a Fortune,0,0.085329,Neither,0.48161464296757145
