Book,Title,Goodreads,Sentiment,Status,Flesch
1,"Farewell, Nikola",15,0.23124,Neither,76.88297475373183
2,A Child of the Jago,534,-0.041759,Canonical novels,79.97954872585741
3,As Others Saw Him,0,0.123316,Neither,78.16647463390976
4,As We Sweep Through The Deep,0,0.27737,Neither,82.9896806409382
5,At a Winter's Fire,18,-0.140801,Neither,78.5282104521932
6,At Aboukir and Acre A Story of Napoleon's Invasion of Egypt,0,0.132627,Neither,75.11025268280409
7,At the Relton Arms,2,0.297092,Neither,77.96015634602597
8,Athelstane Ford,1,-0.062959,Neither,73.34706022343227
9,Audrey Craven,10,0.170015,Neither,79.0276321396706
10,Averil,9,0.182786,Neither,84.4140852090565
11,Aylwin,5,0.08158,Neither,77.63655634483814
12,Babes in the Bush,0,0.389451,Neither,72.99550379678841
13,Baboo Jabberjee B.A.,4,0.488777,Neither,48.28798639878059
14,Beric the Briton A Story of the Roman Invasion,1080,0.063147,Neither,75.54678220815828
15,Bert Lloyd's Boyhood A Story from Nova Scotia,0,0.502387,Neither,77.46713415199108
16,Between Sun and Sand A Tale of an African Desert,2,-0.062542,Neither,72.81105818361507
17,Beyond the City,1,0.27086,Neither,85.48655261142926
18,Black Rock A Tale of the Selkirks,18,0.14054,Neither,85.41951928300244
19,Blanche A Story for Girls,0,0.428278,Neither,80.0044444380231
20,Blazing Arrow A Tale of the Frontier,1,0.038341,Neither,76.91381538897978
21,Blood Royal A Novel,3,0.305434,Neither,73.02093830221224
22,Blue Jackets or The Log of the Teaser,3,-0.008531,Neither,87.26865977239588
23,A Clerk of Oxford and His Adventures in the Baron's War,0,0.39592,Neither,75.52166378258019
24,Bob Strong's Holidays Adrift in the Channel,0,0.304644,Neither,75.92422370201828
25,Boris the Bear Hunter,0,0.18658,Neither,67.38598031061903
26,Born in Exile,326,0.233969,Neither,73.26885353543527
27,Both Sides the Border A Tale of Hotspur and Glendower,0,0.233548,Neither,80.3554892917631
28,Bristol Bells A Story of the Eighteenth Century,1,0.138193,Neither,81.45759327662296
29,Brooke's Daughter A Novel,0,0.185626,Neither,81.4978763942429
30,By Berwen Banks,0,0.323423,Neither,82.4344857402107
31,By England's Aid  or The Freeing of the Netherlands (1585-1604),0,0.133747,Neither,74.45984835032972
32,By Far Euphrates A Tale,17,0.038883,Neither,83.42793149745346
33,By order of the company,0,-0.043176,Neither,85.763897233973
34,A Comedy of Masks,0,0.215449,Neither,72.3192990136757
35,By Reef and Palm,24,0.013331,Neither,79.79126682253614
36,"By Right of Conquest Or, With Cortez in Mexico",0,0.207387,Neither,75.66905779013632
37,By Right of Sword,0,-0.005436,Neither,82.26385810605983
