Book,Title,Goodreads,Sentiment,Status
1,"Farewell, Nikola  ",15,0.23124,Neither
2,A Child of the Jago,534,-0.041759,Canonical novels
3,As Others Saw Him,0,0.123316,Neither
4,As We Sweep Through The Deep ,0,0.27737,Neither
5,At a Winter's Fire  ,18,-0.140801,Neither
6,At Aboukir and Acre A Story of Napoleon's Invasion of Egypt ,0,0.132627,Neither
7,At the Relton Arms,2,0.297092,Neither
8,Athelstane Ford,1,-0.062959,Neither
9,Audrey Craven ,10,0.170015,Neither
10,Averil  ,9,0.182786,Neither
11,Aylwin ,5,0.08158,Neither
12,Babes in the Bush   ,0,0.389451,Neither
13,Baboo Jabberjee B.A.,4,0.488777,Neither
14,Beric the Briton A Story of the Roman Invasion ,1080,0.063147,Neither
15,Bert Lloyd's Boyhood A Story from Nova Scotia  ,0,0.502387,Neither
16,Between Sun and Sand A Tale of an African Desert ,2,-0.062542,Neither
17,Beyond the City   ,1,0.27086,Neither
18,Black Rock A Tale of the Selkirks  ,18,0.14054,Neither
19,Blanche A Story for Girls,0,0.428278,Neither
20,Blazing Arrow A Tale of the Frontier   ,1,0.038341,Neither
21,Blood Royal A Novel   ,3,0.305434,Neither
22,Blue Jackets or The Log of the Teaser  ,3,-0.008531,Neither
23,A Clerk of Oxford and His Adventures in the Baron's War  ,0,0.39592,Neither
24,Bob Strong's Holidays Adrift in the Channel  ,0,0.304644,Neither
25,Boris the Bear Hunter  ,0,0.18658,Neither
26,Born in Exile ,326,0.233969,Neither
27,Both Sides the Border A Tale of Hotspur and Glendower,0,0.233548,Neither
28,Bristol Bells A Story of the Eighteenth Century ,1,0.138193,Neither
29,Brooke's Daughter A Novel  ,0,0.185626,Neither
30,By Berwen Banks  ,0,0.323423,Neither
31,By England's Aid  or The Freeing of the Netherlands (1585-1604)  ,0,0.133747,Neither
32,By Far Euphrates A Tale,17,0.038883,Neither
33,By order of the company  ,0,-0.043176,Neither
34,A Comedy of Masks ,0,0.215449,Neither
35,By Reef and Palm  ,24,0.013331,Neither
36,"By Right of Conquest Or, With Cortez in Mexico  ",0,0.207387,Neither
37,By Right of Sword  ,0,-0.005436,Neither
38,Bye Ways  ,0,-0.040199,Neither
39,Cæsar's Column A Story of the Twentieth Century  ,0,0.113452,Neither
40,Capt'n Davy's Honeymoon  ,4,0.083293,Neither
41,Casa Braccio   ,4,0.085107,Neither
42,Catharine Furze   ,5,0.19489,Neither
43,Catriona ,1131,0.136059,Bestsellers
44,Cecilia de Noël  ,0,0.11956,Neither
45,A Country Sweetheart   ,1,0.183872,Neither
46,Celibates,10,0.127183,Neither
47,Children of the Ghetto ,89,0.217047,Neither
48,Children of the Mist ,21,0.074097,Neither
49,Clara Hopgood  ,15,0.215536,Neither
50,Clarence ,6,-0.017976,Neither
51,Cleg Kelly Arab of the City ,1,0.110982,Neither
52,Clementina  ,17,0.047929,Neither
53,Cleo The Magnificent Or The Muse of the Real ,0,0.293708,Neither
54,Clutterbuck's Treasure ,0,0.129061,Neither
55,Colonel Starbottle's Client,2,0.105446,Neither
56,A Dash for a Throne,0,0.016573,Neither
57,Colonel Thorndyke's Secret,0,0.235201,Neither
58,Colonial Born A Tale of the Queensland bush,0,-0.054649,Neither
59,Comedies of Courtship,0,0.273045,Neither
60,Condemned as a Nihilist A Story of Escape from Siberia,80,0.112024,Neither
61,Corleone A Tale of Sicily ,9,0.088959,Neither
62,Cormorant Crag a Tale of the Smuggling Days,3,0.068455,Neither
63,Count Hannibal A Romance of the Court of France,0,-0.230475,Neither
64,Cowmen and Rustlers A Story of the Wyoming Cattle Ranges,106,0.124706,Neither
65,Crown and Anchor Under the Penant,1,0.268924,Neither
66,Crusoes of the Frozen North,0,0.153801,Neither
67,A Daughter of the Vine,8,0.140182,Neither
68,Cursed by a Fortune,0,0.085329,Neither
69,D Ri and I A Tale of Daring Deeds in the Second War with the British Being the Memoirs of Colonel Ramon Bell U.S.A.,17,0.113508,Neither
70,Dariel A Romance of Surrey ,0,0.357458,Neither
71,Darkness and Dawn Or Scenes in the Days of Nero An Historic Tale,0,-0.10787,Neither
72,Dead Men Tell No Tales,0,-0.073108,Neither
73,Denzil Quarrier,17,0.237359,Neither
74,Despair's Last Journey,0,0.107327,Neither
75,Devil's Dice,2,0.025649,Neither
76,Diana Tempest ,26,0.030611,Neither
77,Dodo A Detail of the Day ,19,0.235914,Bestsellers
78,A Daughter of To Day   ,0,0.360619,Neither
79,Dolly Dialogues  ,34,0.20572,Neither
80,Domitia ,1,0.048979,Neither
81,Don Orsino ,9,0.255548,Neither
82,Donald Ross of Heimra ,1,0.152294,Neither
83,Donna Teresa ,0,0.080998,Neither
84,Doom Castle  ,27,-0.017025,Neither
85,Dorothy's Double  ,0,0.209429,Neither
86,Dr. Rumsey's Patient ,0,0.096053,Neither
87,Dracula  ,897395,0.103137,Canonical novels
88,Draw Swords In the Horse Artillery,9,0.143039,Neither
89,A Deal with The Devil,8,0.159159,Neither
90,Dream Days,235,0.29849,Neither
91,Dream Life and Real Life A Little African Story  I.,19,0.141261,Neither
92,Dreamers of the Ghetto,6,0.183184,Neither
93,Drolls From Shadowland,0,0.019649,Neither
94,Dwell Deep or Hilda Thorn's Life Story,18,0.270259,Neither
95,Eben Holden A Tale of the North Country,45,0.155365,Neither
96,Edward Barry South Sea Pearler,1,0.218872,Neither
97,Eleanor,11,0.060914,Neither
